n,bi_us,zint_us,zint_over_bi
1,0.001,0.002,1.050301
2,0.002,0.002,1.022119
3,0.003,0.003,0.936378
4,0.004,0.003,0.844980
5,0.005,0.004,0.756166
6,0.006,0.004,0.673544
7,0.007,0.004,0.641365
8,0.008,0.005,0.616872
10,0.010,0.005,0.526592
12,0.012,0.006,0.498255
16,0.016,0.007,0.453728
20,0.020,0.009,0.428735
24,0.025,0.010,0.395153
32,0.034,0.013,0.388847
48,0.053,0.019,0.356694
64,0.072,0.025,0.353153
96,0.112,0.037,0.326880
128,0.150,0.050,0.330419
192,0.226,0.078,0.346341
256,0.300,0.103,0.341608
